1;rosă;;;";";la rosa (nom.)|oh, rosa!;;sì;30;30
2;rosae;;;";";della rosa|alla rosa|le rose(nom.)|oh, rose!;;sì;30;30
3;rosam;;;";";la rosa (acc.);;sì;30;30
4;rosā;;;";";con la rosa;;sì;30;30
5;rosarum;;;";";delle rose;;sì;30;30
6;rosis;;;";";con le rose|alle rose;;sì;30;30
7;rosas;;;";";le rose (acc.);;sì;30;30
8;lupus;;;";";il lupo (nom.);;sì;30;30
9;lupi;;;";";del lupo|i lupi (nom.)|oh, lupi!;;sì;30;30
10;lupo;;;";";al lupo|con il lupo;;sì;30;30
11;lupum;;;";";il lupo (acc.);;sì;30;30
12;luporum;;;";";dei lupi;;sì;30;30
13;lupis;;;";";ai lupi|con i lupi;;sì;30;30
14;lupos;;;";";i lupi (acc.);;sì;30;30
